"","date","level","name","classification","i_cases"
"353",2023-01-21,"Department","ASUNCION","SOSPECHOSO",47
"354",2023-01-21,"Department","ASUNCION","CONFIRMADO",247
"355",2023-01-21,"Department","ASUNCION","PROBABLE",3
"356",2023-01-21,"Department","ASUNCION","TOTAL",297
"357",2023-02-04,"Department","PARAGUARI","SOSPECHOSO",18
"358",2023-02-04,"Department","PARAGUARI","CONFIRMADO",32
"359",2023-02-04,"Department","PARAGUARI","PROBABLE",0
"360",2023-02-04,"Department","PARAGUARI","TOTAL",50
"361",2023-01-01,"Department","ALTO PARAGUAY","SOSPECHOSO",7
"362",2023-01-01,"Department","ALTO PARAGUAY","CONFIRMADO",0
"363",2023-01-01,"Department","ALTO PARAGUAY","PROBABLE",0
"364",2023-01-01,"Department","ALTO PARAGUAY","TOTAL",7
"365",2023-01-12,"Department","CONCEPCION","SOSPECHOSO",4
"366",2023-01-12,"Department","CONCEPCION","CONFIRMADO",0
"367",2023-01-12,"Department","CONCEPCION","PROBABLE",0
"368",2023-01-12,"Department","CONCEPCION","TOTAL",4
"369",2023-01-18,"Department","CORDILLERA","SOSPECHOSO",8
"370",2023-01-18,"Department","CORDILLERA","CONFIRMADO",21
"371",2023-01-18,"Department","CORDILLERA","PROBABLE",0
"372",2023-01-18,"Department","CORDILLERA","TOTAL",29
"373",2023-01-10,"Department","CORDILLERA","SOSPECHOSO",6
"374",2023-01-10,"Department","CORDILLERA","CONFIRMADO",1
"375",2023-01-10,"Department","CORDILLERA","PROBABLE",0
"376",2023-01-10,"Department","CORDILLERA","TOTAL",7
"377",2023-01-11,"Department","ASUNCION","SOSPECHOSO",37
"378",2023-01-11,"Department","ASUNCION","CONFIRMADO",123
"379",2023-01-11,"Department","ASUNCION","PROBABLE",2
"380",2023-01-11,"Department","ASUNCION","TOTAL",162
"381",2023-02-01,"Department","ALTO PARANA","SOSPECHOSO",19
"382",2023-02-01,"Department","ALTO PARANA","CONFIRMADO",6
"383",2023-02-01,"Department","ALTO PARANA","PROBABLE",0
"384",2023-02-01,"Department","ALTO PARANA","TOTAL",25
"385",2023-01-15,"Department","ITAPUA","SOSPECHOSO",3
"386",2023-01-15,"Department","ITAPUA","CONFIRMADO",1
"387",2023-01-15,"Department","ITAPUA","PROBABLE",0
"388",2023-01-15,"Department","ITAPUA","TOTAL",4
"389",2023-01-19,"Department","GUAIRA","SOSPECHOSO",7
"390",2023-01-19,"Department","GUAIRA","CONFIRMADO",0
"391",2023-01-19,"Department","GUAIRA","PROBABLE",0
"392",2023-01-19,"Department","GUAIRA","TOTAL",7
"393",2023-01-15,"Department","CONCEPCION","SOSPECHOSO",10
"394",2023-01-15,"Department","CONCEPCION","CONFIRMADO",2
"395",2023-01-15,"Department","CONCEPCION","PROBABLE",0
"396",2023-01-15,"Department","CONCEPCION","TOTAL",12
"397",2023-01-04,"Department","CONCEPCION","SOSPECHOSO",15
"398",2023-01-04,"Department","CONCEPCION","CONFIRMADO",2
"399",2023-01-04,"Department","CONCEPCION","PROBABLE",0
"400",2023-01-04,"Department","CONCEPCION","TOTAL",17
"401",2023-01-03,"Department","SAN PEDRO","SOSPECHOSO",4
"402",2023-01-03,"Department","SAN PEDRO","CONFIRMADO",0
"403",2023-01-03,"Department","SAN PEDRO","PROBABLE",0
"404",2023-01-03,"Department","SAN PEDRO","TOTAL",4
"405",2023-01-21,"Department","SAN PEDRO","SOSPECHOSO",3
"406",2023-01-21,"Department","SAN PEDRO","CONFIRMADO",1
"407",2023-01-21,"Department","SAN PEDRO","PROBABLE",0
"408",2023-01-21,"Department","SAN PEDRO","TOTAL",4
"409",2023-01-20,"Department","ALTO PARAGUAY","SOSPECHOSO",4
"410",2023-01-20,"Department","ALTO PARAGUAY","CONFIRMADO",0
"411",2023-01-20,"Department","ALTO PARAGUAY","PROBABLE",0
"412",2023-01-20,"Department","ALTO PARAGUAY","TOTAL",4
"413",2023-01-31,"Department","BOQUERON","SOSPECHOSO",2
"414",2023-01-31,"Department","BOQUERON","CONFIRMADO",0
"415",2023-01-31,"Department","BOQUERON","PROBABLE",0
"416",2023-01-31,"Department","BOQUERON","TOTAL",2
"417",2023-01-18,"Department","BOQUERON","SOSPECHOSO",2
"418",2023-01-18,"Department","BOQUERON","CONFIRMADO",0
"419",2023-01-18,"Department","BOQUERON","PROBABLE",0
"420",2023-01-18,"Department","BOQUERON","TOTAL",2
"421",2023-01-20,"Department","CAAZAPA","SOSPECHOSO",3
"422",2023-01-20,"Department","CAAZAPA","CONFIRMADO",2
"423",2023-01-20,"Department","CAAZAPA","PROBABLE",0
"424",2023-01-20,"Department","CAAZAPA","TOTAL",5
"425",2023-01-25,"Department","ALTO PARAGUAY","SOSPECHOSO",4
"426",2023-01-25,"Department","ALTO PARAGUAY","CONFIRMADO",1
"427",2023-01-25,"Department","ALTO PARAGUAY","PROBABLE",0
"428",2023-01-25,"Department","ALTO PARAGUAY","TOTAL",5
"429",2023-01-03,"Department","ALTO PARAGUAY","SOSPECHOSO",7
"430",2023-01-03,"Department","ALTO PARAGUAY","CONFIRMADO",1
"431",2023-01-03,"Department","ALTO PARAGUAY","PROBABLE",0
"432",2023-01-03,"Department","ALTO PARAGUAY","TOTAL",8
"433",2023-01-06,"Department","ASUNCION","SOSPECHOSO",24
"434",2023-01-06,"Department","ASUNCION","CONFIRMADO",80
"435",2023-01-06,"Department","ASUNCION","PROBABLE",7
"436",2023-01-06,"Department","ASUNCION","TOTAL",111
"437",2023-02-04,"Department","PTE HAYES","SOSPECHOSO",18
"438",2023-02-04,"Department","PTE HAYES","CONFIRMADO",10
